City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
119,Santa Isabel Do Rio Negro,BR,81.52,overcast clouds,-0.4139,-65.0192,Hotel GSA
128,Basoko,CD,76.35,light rain,1.2391,23.616,Jackyna Hotel
129,Mar Del Plata,AR,75.22,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
134,Geraldton,AU,75.61,light rain,-28.7667,114.6,Broadwater Mariner Resort
136,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
143,Omboue,GA,80.94,overcast clouds,-1.5746,9.2618,Hotel Olako
149,Arraial Do Cabo,BR,84.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
155,Tambura,SS,76.6,broken clouds,5.6,27.4667,Rikito Lodge
156,Porto De Moz,BR,86.81,overcast clouds,-1.7483,-52.2383,Dormitório labelle
159,Pilar,BR,82.33,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
165,Port Keats,AU,79.99,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
167,Dera Bugti,PK,81.73,broken clouds,29.0307,69.151,Nawab Bugti House
169,Ubauro,PK,85.68,clear sky,28.1652,69.7289,Stamp Vendor
172,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
175,Adjumani,UG,80.62,overcast clouds,3.3779,31.7909,Hotel Zawadi
180,Maner,IN,80.51,clear sky,25.65,84.8833,Mukesh Sweets
181,Bubaque,GW,75.15,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
184,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
193,Gurmatkal,IN,88.5,scattered clouds,16.8667,77.4,Patange Enterprises
194,Puerto Madero,MX,86.0,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
201,Natal,BR,82.62,heavy intensity rain,-5.795,-35.2094,Villa Park Hotel | Natal
203,Kutum,SD,85.33,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
207,Pauini,BR,88.3,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
219,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
228,Kollam,IN,80.4,scattered clouds,8.8833,76.6,The Raviz Ashtamudi
234,Vao,NC,78.71,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
235,Manokwari,ID,77.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
237,Celestun,MX,85.14,clear sky,20.8667,-90.4,Posada Lilia
240,Tual,ID,81.97,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
241,Pato Branco,BR,77.04,overcast clouds,-26.2286,-52.6706,Luz Hotel Pato Branco
248,Bonthe,SL,84.97,broken clouds,7.5264,-12.505,Bonthe Holiday Village
260,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
263,Tambun,ID,85.46,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
265,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
266,Ca Mau,VN,77.49,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
267,Banjar,ID,76.64,overcast clouds,-8.19,114.9675,The Hamsa Resort
274,New Port Richey,US,76.24,broken clouds,28.2442,-82.7193,Quality Inn & Suites Conference Center
275,Lorengau,PG,79.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
276,Kavaratti,IN,82.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
280,Florida,US,76.91,clear sky,28.7505,-82.5001,Sportsmens Cove
285,Santiago Del Estero,AR,80.67,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
286,Cam Ranh,VN,75.16,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
292,Seabra,BR,86.49,scattered clouds,-12.4186,-41.7703,Cambuí Hotel
296,Vieques,PR,86.49,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
