City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Provideniya,RU,2022-04-03 02:54:21,64.3833,-173.3,17.2,59,0,10.6
139,Along,IN,2022-04-03 02:54:21,28.1667,94.7667,69.08,94,99,1.19
140,Japura,ID,2022-04-03 02:54:22,-0.3167,102.35,83.59,77,52,2.44
141,Narsaq,GL,2022-04-03 02:54:22,60.9167,-46.05,34.7,95,100,4.43
142,Mount Isa,AU,2022-04-03 02:54:22,-20.7333,139.5,92.97,15,75,6.91
143,Esperance,AU,2022-04-03 02:54:23,-33.8667,121.9,87.64,44,69,8.99
144,Tilichiki,RU,2022-04-03 02:54:23,60.4667,166.1,23.09,81,100,7.74
145,Peristera,GR,2022-04-03 02:54:24,40.55,23.1667,48.36,67,20,13.8
146,Newport,GB,2022-04-03 02:50:57,51.5877,-2.9984,35.71,83,15,5.77
147,Viking,CA,2022-04-03 02:54:24,53.1001,-111.7684,35.73,88,78,2.64
148,Kapuskasing,CA,2022-04-03 02:54:25,49.4169,-82.4331,33.89,93,100,5.75
149,Atasu,KZ,2022-04-03 02:54:25,48.6814,71.6433,32.58,74,70,1.77
150,Fortuna,US,2022-04-03 02:54:25,40.5982,-124.1573,49.91,86,75,11.5
151,Sitka,US,2022-04-03 02:54:26,57.0531,-135.33,38.32,84,100,7.96
152,Cherskiy,RU,2022-04-03 02:54:26,68.75,161.3,3.31,84,81,5.14
153,Aklavik,CA,2022-04-03 02:54:27,68.2191,-135.0107,-10.3,96,100,7.16
154,Necochea,AR,2022-04-03 02:50:55,-38.5473,-58.7368,57.92,62,0,19.13
155,Palmer,US,2022-04-03 02:54:27,42.1584,-72.3287,40.91,70,75,0.0
156,Labuhan,ID,2022-04-03 02:54:27,-6.8844,112.2051,85.39,68,39,4.21
157,Nuuk,GL,2022-04-03 02:50:21,64.1835,-51.7216,31.87,97,100,5.01
158,Mitsamiouli,KM,2022-04-03 02:54:28,-11.3847,43.2844,80.55,74,50,2.77
159,Severo-Kurilsk,RU,2022-04-03 02:53:58,50.6789,156.125,30.34,68,99,26.75
160,Stornoway,GB,2022-04-03 02:54:28,58.2093,-6.3865,33.76,86,100,5.75
161,Fraga,ES,2022-04-03 02:54:29,41.5229,0.3489,34.52,57,0,3.71
162,Bermeo,ES,2022-04-03 02:54:29,43.4209,-2.7215,39.49,86,68,1.32
163,Agadez,NE,2022-04-03 02:54:29,19.75,10.25,81.16,5,100,4.47
164,North Bend,US,2022-04-03 02:54:30,43.4065,-124.2243,51.71,82,0,11.5
165,Kendari,ID,2022-04-03 02:54:30,-3.945,122.4989,84.83,72,70,1.83
166,Zhanakorgan,KZ,2022-04-03 02:54:31,43.9098,67.2495,60.49,29,45,4.09
167,Guerrero Negro,MX,2022-04-03 02:54:31,27.9769,-114.0611,60.03,75,90,13.2
168,Tiksi,RU,2022-04-03 02:54:31,71.6872,128.8694,-1.03,95,99,8.57
169,Beringovskiy,RU,2022-04-03 02:54:32,63.05,179.3167,5.34,84,100,16.13
170,Isangel,VU,2022-04-03 02:52:47,-19.55,169.2667,83.73,75,100,4.88
171,Wooster,US,2022-04-03 02:54:32,40.8051,-81.9351,43.59,72,0,0.0
172,Asau,RO,2022-04-03 02:54:33,46.4333,26.4,36.95,100,95,3.94
173,Turukhansk,RU,2022-04-03 02:54:33,65.8167,87.9833,11.17,95,100,3.83
174,Vaini,TO,2022-04-03 02:54:33,-21.2,-175.2,86.16,74,40,5.75
175,Alofi,NU,2022-04-03 02:54:34,-19.0595,-169.9187,84.09,74,52,13.8
176,Itarema,BR,2022-04-03 02:54:34,-2.9248,-39.9167,74.41,90,89,7.78
177,Salalah,OM,2022-04-03 02:54:35,17.0151,54.0924,78.48,52,77,1.66
178,Fort Nelson,CA,2022-04-03 02:54:35,58.8053,-122.7002,27.99,54,20,6.91
179,Matay,EG,2022-04-03 02:54:35,28.419,30.7792,69.39,30,100,10.63
180,Manakara,MG,2022-04-03 02:54:36,-22.1333,48.0167,70.05,95,63,5.46
181,Torbay,CA,2022-04-03 02:54:36,47.6666,-52.7314,35.58,91,100,16.11
182,Concarneau,FR,2022-04-03 02:54:36,47.875,-3.9225,34.83,75,12,7.29
183,Lovington,US,2022-04-03 02:54:37,32.944,-103.3485,66.16,21,0,3.0
184,Tupiza,BO,2022-04-03 02:54:37,-21.45,-65.7167,58.53,37,6,4.79
185,Pringsewu,ID,2022-04-03 02:54:38,-5.3582,104.9744,87.17,60,38,1.81
186,Ponta Do Sol,PT,2022-04-03 02:54:38,32.6667,-17.1,62.01,83,100,11.05
187,Ajdabiya,LY,2022-04-03 02:54:38,30.7554,20.2263,68.04,24,24,11.52
188,Inirida,CO,2022-04-03 02:54:39,3.8653,-67.9239,74.05,96,53,3.24
189,Padang,ID,2022-04-03 02:54:39,-0.9492,100.3543,82.45,61,7,4.45
190,Trincomalee,LK,2022-04-03 02:54:40,8.5711,81.2335,80.76,78,36,5.66
191,Iracoubo,GF,2022-04-03 02:54:40,5.4802,-53.2011,77.92,88,97,12.57
192,Samandag,TR,2022-04-03 02:54:40,36.0842,35.9771,62.55,51,35,3.2
193,Nantucket,US,2022-04-03 02:52:53,41.2835,-70.0995,42.94,77,0,12.66
194,Rio Cuarto,AR,2022-04-03 02:54:41,-33.1307,-64.3499,58.48,48,0,12.77
195,Kupang,ID,2022-04-03 02:54:41,-10.1667,123.5833,83.98,67,12,3.98
196,Cocal,BR,2022-04-03 02:54:42,-28.6167,-49.35,62.4,96,76,3.65
197,Concepcion,CL,2022-04-03 02:54:42,-36.827,-73.0498,55.2,88,75,10.36
198,Nanortalik,GL,2022-04-03 02:54:43,60.1432,-45.2371,35.51,90,100,9.17
199,Goderich,CA,2022-04-03 02:49:57,43.7501,-81.7165,37.72,70,100,2.3
200,Catuday,PH,2022-04-03 02:54:43,16.2923,119.8062,82.27,64,96,5.5
201,Baruun-Urt,MN,2022-04-03 02:54:43,46.6806,113.2792,51.48,16,100,14.88
202,Tagusao,PH,2022-04-03 02:54:44,9.1924,117.8141,85.1,64,84,4.07
203,Leningradskiy,RU,2022-04-03 02:54:44,69.3833,178.4167,-2.43,92,100,12.15
204,Radstadt,AT,2022-04-03 02:54:45,47.3833,13.45,23.36,98,100,4.05
205,Upernavik,GL,2022-04-03 02:54:45,72.7868,-56.1549,7.56,97,98,10.83
206,Pisco,PE,2022-04-03 02:54:45,-13.7,-76.2167,66.25,82,0,11.5
207,Lasa,IT,2022-04-03 02:54:46,46.6166,10.7002,18.81,93,99,5.3
