City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Porto De Moz,BR,-1.7483,-52.2383,86.81,61,96,2.86,overcast clouds
157,Hamilton,US,39.1834,-84.5333,51.24,62,40,9.22,scattered clouds
158,Caraquet,CA,47.7941,-64.9386,38.34,60,33,11.83,scattered clouds
159,Pilar,BR,-9.5972,-35.9567,82.33,62,40,10.74,scattered clouds
160,Solnechnyy,RU,50.7214,136.6319,34.43,85,100,7.54,overcast clouds
161,Cayeli,TR,41.0923,40.7292,59.61,63,89,4.97,overcast clouds
162,Aasiaat,GL,68.7098,-52.8699,31.06,84,95,3.62,overcast clouds
163,North Bend,US,43.4065,-124.2243,48.16,96,100,8.05,overcast clouds
164,Norman Wells,CA,65.282,-126.8329,-14.76,64,75,4.61,broken clouds
165,Port Keats,AU,-14.25,129.55,79.99,75,92,4.76,overcast clouds
166,Hermanus,ZA,-34.4187,19.2345,67.8,75,19,13.35,few clouds
167,Dera Bugti,PK,29.0307,69.151,81.73,6,79,5.66,broken clouds
168,Stornoway,GB,58.2093,-6.3865,49.96,94,100,14.97,light intensity drizzle rain
169,Ubauro,PK,28.1652,69.7289,85.68,6,2,4.68,clear sky
170,Te Anau,NZ,-45.4167,167.7167,46.58,81,61,0.63,broken clouds
171,Half Moon Bay,US,37.4636,-122.4286,67.44,72,20,5.75,few clouds
172,Gouyave,GD,12.1646,-61.7296,83.17,61,20,27.63,few clouds
173,Chuy,UY,-33.6971,-53.4616,71.15,70,100,10.56,moderate rain
174,Puerto Quijarro,BO,-17.7833,-57.7667,93.43,42,14,7.31,few clouds
175,Adjumani,UG,3.3779,31.7909,80.62,43,97,0.63,overcast clouds
176,Kokkola,FI,63.8385,23.1307,32.16,70,0,3.44,clear sky
177,Linxia,CN,35.6003,103.2064,49.12,24,100,3.98,overcast clouds
178,Aksarka,RU,66.5606,67.7975,7.75,92,79,7.25,broken clouds
179,Luau,AO,-10.7073,22.2247,67.73,93,87,3.83,overcast clouds
180,Maner,IN,25.65,84.8833,80.51,23,0,5.21,clear sky
181,Bubaque,GW,11.2833,-15.8333,75.15,73,100,19.19,overcast clouds
182,Sawang Daen Din,TH,17.4753,103.4575,70.18,57,87,9.19,overcast clouds
183,Oranjemund,NA,-28.55,16.4333,61.92,87,4,5.7,clear sky
184,Saint-Georges,GD,12.0564,-61.7485,83.88,61,20,27.63,few clouds
185,Lata,PT,40.1629,-8.3327,56.8,25,16,10.33,few clouds
186,Port Macquarie,AU,-31.4333,152.9167,64.89,73,99,13.56,light rain
187,Provideniya,RU,64.3833,-173.3,0.27,76,0,8.25,clear sky
188,Hilo,US,19.7297,-155.09,73.13,85,75,1.01,broken clouds
189,Champerico,GT,14.3,-91.9167,90.14,59,10,12.12,clear sky
190,General Roca,AR,-39.0333,-67.5833,62.62,15,0,23.55,clear sky
